"ModelName_short","Task_short","Dataset","Cancer","tissue","TaskCategory","TaskCategory_short","AUROC","AUROC_lower","AUROC_upper","AUPRC","AUPRC_lower","AUPRC_upper","Balanced_accuracy","Balanced_accuracy_lower","Balanced_accuracy_upper","Sensitivity","Sensitivity_lower","Sensitivity_upper","Specificity","Specificity_lower","Specificity_upper","binary_multi","Public","Slide_vs_patch_classification","Classes","ModelName","ModelCategory","ModelDomain","ModelArch","Parameters_in_million","TrainingData_patches_in_million","Slides_in_million"
"Phikon","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.807089435762204,0.746666122501641,0.864439127884563,0.79221818370043,0.701388039029002,0.864684039028555,0.7259267,0.6622975,0.783,0.77262780761068,0.688136416634279,0.852281698564593,0.679226060927923,0.585846267553585,0.767007453172502,"binary","CPTAC","Slide","chromatin modification pathway activation","Phikon","Path-VM","Pathology","Vit-B",85,40,0.006
"HIPT","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.757206914687218,0.688959159680013,0.819035537407147,0.745685141176073,0.650550428157987,0.828117726739083,0.670761,0.6043825,0.732925,0.663656625022811,0.565204603580563,0.755555555555556,0.677865322523218,0.583313106796117,0.765322405557968,"binary","CPTAC","Slide","chromatin modification pathway activation","Hipt_Vit-S16","Path-VM","Pathology","Vit-S",21,104,0.01
"iBot-B16","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.757753231430082,0.686147076165262,0.822019360496492,0.737352747072799,0.650158570907106,0.818112084637424,0.6990249,0.63519,0.762205,0.759230170343833,0.673901952085182,0.843767361111111,0.638820712688014,0.544554455445545,0.728180622977346,"binary","CPTAC","Slide","chromatin modification pathway activation","iBot-B16","VM","Natural Images","Vit-B",85,14,NA
"iBot-L16","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.785842034364752,0.720488023036888,0.846220617873183,0.742328078976446,0.639950450661532,0.838649317166006,0.7092256,0.6492975,0.7771125,0.749827969558723,0.659989361702128,0.833333333333333,0.66862815901468,0.574045138888889,0.758620689655172,"binary","CPTAC","Slide","chromatin modification pathway activation","iBot-L16","VM","Natural Images","Vit-L",307,14,NA
"Dino-S16","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.775608593015797,0.705865449628127,0.837245220339208,0.770546327983364,0.678833671206981,0.850607068470634,0.6685413,0.5997,0.7347,0.708325925814988,0.608684446436576,0.797872340425532,0.628753939051773,0.529985294117647,0.71878125,"binary","CPTAC","Slide","chromatin modification pathway activation","Dino-Vit-S16","VM","Natural Images","Vit-S",21,14,NA
"Dino-B16","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.793515515584095,0.731074616458251,0.852614602376322,0.768709450086127,0.68195822174788,0.849019813429199,0.7319649,0.6692,0.7928175,0.782328693252731,0.695652173913043,0.861738521836506,0.681603753667184,0.593731831395349,0.773819124423963,"binary","CPTAC","Slide","chromatin modification pathway activation","Dino-Vit-B16","VM","Natural Images","Vit-B",85,14,NA
"Kaiko","CPTAC-grade","CPTAC","Pan-cancer","pan-cancer","Diagnostic: Tumor Grading","Diagnostic",0.735399444652158,0.652393879211457,0.8137872718263,0.5393674,0.429565,0.66354,0.5103082,0.388195,0.628705,0.510308242091982,0.388232303687025,0.62867285300848,0.83726815438323,0.797519188743029,0.877163982937152,"multi-class","CPTAC","Slide","tumor grades obtained from the study were G1, G2, G3 and G4","Kaiko","Path-VM","Pathology","Vit-B",85,NA,0.029
"Lunit","CPTAC-grade","CPTAC","Pan-cancer","pan-cancer","Diagnostic: Tumor Grading","Diagnostic",0.7247796109943,0.642614724909357,0.80386951763411,0.5091879,0.4058575,0.6228775,0.4829753,0.37095,0.605715,0.482975221109072,0.370970750740488,0.605691287878788,0.828552827553294,0.788989552839988,0.869742946964507,"multi-class","CPTAC","Slide","tumor grades obtained from the study were G1, G2, G3 and G4","lunit_dino_Vit-S16","Path-VM","Pathology","Vit-S",21,19,0.021
"Phikon","CPTAC-grade","CPTAC","Pan-cancer","pan-cancer","Diagnostic: Tumor Grading","Diagnostic",0.742947847135103,0.662488723450599,0.825279159027953,0.5317753,0.4168875,0.6603475,0.5438526,0.4311725,0.6583175,0.543851852394543,0.431124864718615,0.658363056077694,0.848552095581942,0.809891038532691,0.885287004633873,"multi-class","CPTAC","Slide","tumor grades obtained from the study were G1, G2, G3 and G4","Phikon","Path-VM","Pathology","Vit-B",85,40,0.006
"HIPT","CPTAC-grade","CPTAC","Pan-cancer","pan-cancer","Diagnostic: Tumor Grading","Diagnostic",0.692973037374996,0.605562301644441,0.774454904418846,0.4786932,0.3799975,0.5808225,0.4566717,0.3379775,0.57174,0.456671894372153,0.337978916642568,0.571726591503826,0.818742615765146,0.781937359668918,0.85760503435167,"multi-class","CPTAC","Slide","tumor grades obtained from the study were G1, G2, G3 and G4","Hipt_Vit-S16","Path-VM","Pathology","Vit-S",21,104,0.01
"iBot-B16","CPTAC-grade","CPTAC","Pan-cancer","pan-cancer","Diagnostic: Tumor Grading","Diagnostic",0.733904716089471,0.652670756786846,0.815287442577234,0.5477082,0.4419675,0.6694025,0.5127743,0.3927775,0.635405,0.512775115511901,0.392786553052855,0.635453117144294,0.838625358864269,0.797710963389772,0.877309205387383,"multi-class","CPTAC","Slide","tumor grades obtained from the study were G1, G2, G3 and G4","iBot-B16","VM","Natural Images","Vit-B",85,14,NA
"iBot-L16","CPTAC-grade","CPTAC","Pan-cancer","pan-cancer","Diagnostic: Tumor Grading","Diagnostic",0.720201337088397,0.6388865785812,0.799081502701417,0.5257171,0.4145,0.63881,0.466539,0.3473125,0.579405,0.466538175625371,0.347325112511113,0.579417016806723,0.823317331001725,0.783225691125187,0.863160935755881,"multi-class","CPTAC","Slide","tumor grades obtained from the study were G1, G2, G3 and G4","iBot-L16","VM","Natural Images","Vit-L",307,14,NA
"Dino-S16","CPTAC-grade","CPTAC","Pan-cancer","pan-cancer","Diagnostic: Tumor Grading","Diagnostic",0.758104047078851,0.67785861166421,0.833417739340719,0.595301,0.485785,0.7036375,0.5272146,0.4226875,0.6335275,0.527214885180926,0.422716933264534,0.633487599345958,0.842769339149951,0.80539743632633,0.880223255794224,"multi-class","CPTAC","Slide","tumor grades obtained from the study were G1, G2, G3 and G4","Dino-Vit-S16","VM","Natural Images","Vit-S",21,14,NA
"Dino-B16","CPTAC-grade","CPTAC","Pan-cancer","pan-cancer","Diagnostic: Tumor Grading","Diagnostic",0.73387616127253,0.65014988877887,0.810519210615353,0.5662532,0.45229,0.67895,0.5121902,0.394895,0.6299675,0.512189386712843,0.394881151324166,0.62996219623693,0.83776757750244,0.798420558510472,0.876860877570231,"multi-class","CPTAC","Slide","tumor grades obtained from the study were G1, G2, G3 and G4","Dino-Vit-B16","VM","Natural Images","Vit-B",85,14,NA
"Kaiko","tumor label","CPTAC","Pan-cancer","pan-cancer","Diagnostic: Histologic Subtyping","Diagnostic",0.985272751175811,0.97582084595215,0.992350296263727,0.9359997,0.901085,0.9640025,0.8520979,0.80009,0.900305,0.852100095141906,0.800041774847348,0.900343681634261,0.974609307764705,0.965488081097168,0.983458301964342,"multi-class","CPTAC","Slide","7-classes were BRCA, CCRCC, COAD, GBM, LSCC, LUAD, PDA (7 tumor types)","Kaiko","Path-VM","Pathology","Vit-B",85,NA,0.029
"Lunit","tumor label","CPTAC","Pan-cancer","pan-cancer","Diagnostic: Histologic Subtyping","Diagnostic",0.98776812783684,0.979208363618448,0.994691126533852,0.9461109,0.911795,0.9750025,0.8983953,0.8550875,0.9417025,0.89839534854274,0.855073157108576,0.94168718863207,0.982483044242814,0.974579934435454,0.990287960067726,"multi-class","CPTAC","Slide","7-classes were BRCA, CCRCC, COAD, GBM, LSCC, LUAD, PDA (7 tumor types)","lunit_dino_Vit-S16","Path-VM","Pathology","Vit-S",21,19,0.021
"Phikon","tumor label","CPTAC","Pan-cancer","pan-cancer","Diagnostic: Histologic Subtyping","Diagnostic",0.992542227146376,0.987043919708779,0.996751841891961,0.9635275,0.9389,0.983,0.9087543,0.867095,0.9460075,0.908754556322356,0.867130009575498,0.946056147201136,0.984605452617843,0.977273098150772,0.991262054961797,"multi-class","CPTAC","Slide","7-classes were BRCA, CCRCC, COAD, GBM, LSCC, LUAD, PDA (7 tumor types)","Phikon","Path-VM","Pathology","Vit-B",85,40,0.006
"HIPT","tumor label","CPTAC","Pan-cancer","pan-cancer","Diagnostic: Histologic Subtyping","Diagnostic",0.98037188175013,0.969322316778128,0.989506000812898,0.9094601,0.861085,0.9481025,0.8241772,0.7679875,0.87842,0.824176985426949,0.768003997009432,0.878439811223973,0.969781733099549,0.959122285881234,0.979710692564104,"multi-class","CPTAC","Slide","7-classes were BRCA, CCRCC, COAD, GBM, LSCC, LUAD, PDA (7 tumor types)","Hipt_Vit-S16","Path-VM","Pathology","Vit-S",21,104,0.01
"iBot-B16","tumor label","CPTAC","Pan-cancer","pan-cancer","Diagnostic: Histologic Subtyping","Diagnostic",0.988038473050225,0.979867643651944,0.994797360581394,0.9463168,0.914295,0.9744025,0.8690388,0.82219,0.916405,0.869038168836182,0.82214481141373,0.916441929643499,0.977681184890304,0.96901554624209,0.986312378470858,"multi-class","CPTAC","Slide","7-classes were BRCA, CCRCC, COAD, GBM, LSCC, LUAD, PDA (7 tumor types)","iBot-B16","VM","Natural Images","Vit-B",85,14,NA
"iBot-L16","tumor label","CPTAC","Pan-cancer","pan-cancer","Diagnostic: Histologic Subtyping","Diagnostic",0.987937878297576,0.978592552229306,0.9954123383852,0.9473177,0.912195,0.9770075,0.8970817,0.8539875,0.9390075,0.897080623380172,0.853943842403363,0.939026839432788,0.982408889042172,0.974477556695415,0.989480535504837,"multi-class","CPTAC","Slide","7-classes were BRCA, CCRCC, COAD, GBM, LSCC, LUAD, PDA (7 tumor types)","iBot-L16","VM","Natural Images","Vit-L",307,14,NA
"Dino-S16","tumor label","CPTAC","Pan-cancer","pan-cancer","Diagnostic: Histologic Subtyping","Diagnostic",0.980281190109521,0.969075237203792,0.989811987259146,0.9213192,0.8842775,0.953705,0.8471319,0.798195,0.896615,0.847131038906685,0.798228271144079,0.896650292857591,0.973967498017193,0.965022200184659,0.98261044186585,"multi-class","CPTAC","Slide","7-classes were BRCA, CCRCC, COAD, GBM, LSCC, LUAD, PDA (7 tumor types)","Dino-Vit-S16","VM","Natural Images","Vit-S",21,14,NA
"Dino-B16","tumor label","CPTAC","Pan-cancer","pan-cancer","Diagnostic: Histologic Subtyping","Diagnostic",0.984946844458986,0.974780935548251,0.993029661579223,0.936907,0.90219,0.9657,0.8687367,0.816795,0.9149,0.86873553591922,0.816747458925091,0.914884314593888,0.977755089838821,0.968588026280912,0.985588028336179,"multi-class","CPTAC","Slide","7-classes were BRCA, CCRCC, COAD, GBM, LSCC, LUAD, PDA (7 tumor types)","Dino-Vit-B16","VM","Natural Images","Vit-B",85,14,NA
"Kaiko","MTOR","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.754268898573821,0.686397531985767,0.81522470748591,0.739438989440866,0.650883788982844,0.822739446167361,0.6918407,0.627995,0.7538025,0.743589039176725,0.657400793650794,0.824074074074074,0.64009080733283,0.546294351073763,0.728189161228712,"binary","CPTAC","Slide","mTOR pathway activation vs no mTOR pathway activation","Kaiko","Path-VM","Pathology","Vit-B",85,NA,0.029
"Lunit","MTOR","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.733566497062332,0.659999770276893,0.804405019334392,0.707201864608007,0.606168052709943,0.79957474250507,0.6723232,0.60439,0.7370175,0.733690044033006,0.644230769230769,0.813736335242061,0.610958063231329,0.517476550286608,0.696107663248786,"binary","CPTAC","Slide","mTOR pathway activation vs no mTOR pathway activation","lunit_dino_Vit-S16","Path-VM","Pathology","Vit-S",21,19,0.021
"Phikon","MTOR","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.747376185855147,0.682003775811904,0.808601357422112,0.711893026542514,0.616875965944223,0.799108002097998,0.674442,0.6116775,0.7359025,0.710514528218733,0.617609922756982,0.788461538461538,0.638369483409132,0.544586107748184,0.728976830218068,"binary","CPTAC","Slide","mTOR pathway activation vs no mTOR pathway activation","Phikon","Path-VM","Pathology","Vit-B",85,40,0.006
"HIPT","MTOR","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.698822269389673,0.627904136045434,0.764020587363724,0.673989585375206,0.568116598450586,0.771877867069136,0.6618557,0.5980775,0.722325,0.721211734093459,0.635514018691589,0.805832672874975,0.602499187668111,0.509615384615385,0.690039719626168,"binary","CPTAC","Slide","mTOR pathway activation vs no mTOR pathway activation","Hipt_Vit-S16","Path-VM","Pathology","Vit-S",21,104,0.01
"iBot-B16","MTOR","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.737334183308505,0.673065033181278,0.799924061627311,0.706408373777138,0.614582817296755,0.800312130431143,0.6864121,0.6239825,0.7454325,0.750422930034265,0.669803325871442,0.830004716981132,0.622399447267723,0.530423913043478,0.712996031746032,"binary","CPTAC","Slide","mTOR pathway activation vs no mTOR pathway activation","iBot-B16","VM","Natural Images","Vit-B",85,14,NA
"iBot-L16","MTOR","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.753263786990637,0.690391407401194,0.81528630068071,0.733352315522566,0.642385806358095,0.816237395398609,0.6805513,0.6194825,0.741605,0.722944031574979,0.649098440545809,0.8,0.638157736764346,0.547147973445143,0.721180555555556,"binary","CPTAC","Slide","mTOR pathway activation vs no mTOR pathway activation","iBot-L16","VM","Natural Images","Vit-L",307,14,NA
"Dino-S16","MTOR","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.742836021413008,0.677954783354783,0.804172806941053,0.72580669784282,0.62703130108192,0.814549513675762,0.6937475,0.6281,0.7554425,0.703572638665096,0.617948650635304,0.783376168224299,0.683922760477574,0.596321008247614,0.771192493946731,"binary","CPTAC","Slide","mTOR pathway activation vs no mTOR pathway activation","Dino-Vit-S16","VM","Natural Images","Vit-S",21,14,NA
