Task_short,Dataset,ModelName,ModelName_short,ModelCategory,ModelDomain,ModelArch,balanced_accuracy,F1_score,Precision,Recall,Cancer,Slide_vs_patch_classification,binary_multi,tissue,average_performance
kidney_subtype,TCGA,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.78,0.79,0.85,0.78,KIRC + KIRP + KICH,Slide,multi-class,kidney,0.8
kidney_subtype,TCGA,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.74,0.78,0.86,0.74,KIRC + KIRP + KICH,Slide,multi-class,kidney,0.78
kidney_subtype,TCGA,Phikon,Phikon,pathology,Pathology,Vit-B,0.83,0.86,0.89,0.83,KIRC + KIRP + KICH,Slide,multi-class,kidney,0.85
CPTAC-grade,CPTAC,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.51,0.55,0.63,0.51,Pan-cancer,Slide,multi-class,pan-cancer,0.55
CPTAC-grade,CPTAC,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.51,0.53,0.62,0.51,Pan-cancer,Slide,multi-class,pan-cancer,0.54
CPTAC-grade,CPTAC,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.46,0.46,0.51,0.46,Pan-cancer,Slide,multi-class,pan-cancer,0.47
CPTAC-grade,CPTAC,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.53,0.58,0.69,0.53,Pan-cancer,Slide,multi-class,pan-cancer,0.58
CPTAC-grade,CPTAC,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.49,0.52,0.63,0.49,Pan-cancer,Slide,multi-class,pan-cancer,0.53
CPTAC-grade,CPTAC,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.47,0.5,0.59,0.47,Pan-cancer,Slide,multi-class,pan-cancer,0.51
CPTAC-grade,CPTAC,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.51,0.55,0.64,0.51,Pan-cancer,Slide,multi-class,pan-cancer,0.55
CPTAC-grade,CPTAC,Phikon,Phikon,pathology,Pathology,Vit-B,0.54,0.58,0.67,0.54,Pan-cancer,Slide,multi-class,pan-cancer,0.58
ERstatus,TCGA,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.8,0.79,0.85,0.8,BRCA,Slide,binary,breast,0.81
ERstatus,TCGA,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.8,0.79,0.84,0.8,BRCA,Slide,binary,breast,0.81
ERstatus,TCGA,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.68,0.7,0.83,0.68,BRCA,Slide,binary,breast,0.72
ERstatus,TCGA,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.8,0.8,0.84,0.8,BRCA,Slide,binary,breast,0.81
ERstatus,TCGA,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.77,0.75,0.81,0.77,BRCA,Slide,binary,breast,0.78
ERstatus,TCGA,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.78,0.79,0.85,0.78,BRCA,Slide,binary,breast,0.8
ERstatus,TCGA,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.82,0.8,0.83,0.82,BRCA,Slide,binary,breast,0.82
ERstatus,TCGA,Phikon,Phikon,pathology,Pathology,Vit-B,0.73,0.73,0.78,0.73,BRCA,Slide,binary,breast,0.74
blca_hist_subtype,TCGA,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.64,0.68,0.8,0.64,BLCA,Slide,multi-class,bladder,0.69
blca_hist_subtype,TCGA,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.59,0.61,0.72,0.59,BLCA,Slide,multi-class,bladder,0.63
blca_hist_subtype,TCGA,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.52,0.65,0.99,0.52,BLCA,Slide,multi-class,bladder,0.67
blca_hist_subtype,TCGA,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.56,0.65,0.92,0.56,BLCA,Slide,multi-class,bladder,0.67
blca_hist_subtype,TCGA,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.58,0.63,0.83,0.58,BLCA,Slide,multi-class,bladder,0.66
blca_hist_subtype,TCGA,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.62,0.64,0.76,0.62,BLCA,Slide,multi-class,bladder,0.66
blca_hist_subtype,TCGA,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.56,0.65,0.89,0.56,BLCA,Slide,multi-class,bladder,0.66
blca_hist_subtype,TCGA,Phikon,Phikon,pathology,Pathology,Vit-B,0.64,0.7,0.9,0.64,BLCA,Slide,multi-class,bladder,0.72
brain_histology_subtype,TCGA,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.42,0.44,0.53,0.42,GBM+LGG,Slide,multi-class,brain,0.45
brain_histology_subtype,TCGA,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.52,0.53,0.58,0.52,GBM+LGG,Slide,multi-class,brain,0.54
brain_histology_subtype,TCGA,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.45,0.48,0.57,0.45,GBM+LGG,Slide,multi-class,brain,0.49
brain_histology_subtype,TCGA,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.41,0.43,0.53,0.41,GBM+LGG,Slide,multi-class,brain,0.44
brain_histology_subtype,TCGA,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.55,0.56,0.64,0.55,GBM+LGG,Slide,multi-class,brain,0.57
brain_histology_subtype,TCGA,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.67,0.67,0.72,0.67,GBM+LGG,Slide,multi-class,brain,0.68
brain_histology_subtype,TCGA,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.49,0.51,0.59,0.49,GBM+LGG,Slide,multi-class,brain,0.52
brain_histology_subtype,TCGA,Phikon,Phikon,pathology,Pathology,Vit-B,0.49,0.49,0.53,0.49,GBM+LGG,Slide,multi-class,brain,0.5
bladder_mrna_clustering,TCGA,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.6,0.62,0.74,0.6,BLCA,Slide,multi-class,bladder,0.64
bladder_mrna_clustering,TCGA,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.66,0.69,0.81,0.66,BLCA,Slide,multi-class,bladder,0.7
bladder_mrna_clustering,TCGA,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.54,0.56,0.66,0.54,BLCA,Slide,multi-class,bladder,0.58
bladder_mrna_clustering,TCGA,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.61,0.63,0.72,0.61,BLCA,Slide,multi-class,bladder,0.64
bladder_mrna_clustering,TCGA,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.57,0.61,0.79,0.57,BLCA,Slide,multi-class,bladder,0.64
bladder_mrna_clustering,TCGA,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.63,0.66,0.8,0.63,BLCA,Slide,multi-class,bladder,0.68
bladder_mrna_clustering,TCGA,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.57,0.61,0.75,0.57,BLCA,Slide,multi-class,bladder,0.62
bladder_mrna_clustering,TCGA,Phikon,Phikon,pathology,Pathology,Vit-B,0.6,0.61,0.72,0.6,BLCA,Slide,multi-class,bladder,0.63
MYC,TCGA,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.56,0.57,0.66,0.56,Pan-cancer,Slide,binary,pan-cancer,0.59
MYC,TCGA,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.62,0.62,0.7,0.62,Pan-cancer,Slide,binary,pan-cancer,0.64
MYC,TCGA,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.59,0.6,0.7,0.59,Pan-cancer,Slide,binary,pan-cancer,0.62
MYC,TCGA,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.55,0.56,0.67,0.55,Pan-cancer,Slide,binary,pan-cancer,0.58
MYC,TCGA,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.59,0.58,0.65,0.59,Pan-cancer,Slide,binary,pan-cancer,0.6
MYC,TCGA,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.61,0.61,0.68,0.61,Pan-cancer,Slide,binary,pan-cancer,0.63
MYC,TCGA,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.59,0.6,0.68,0.59,Pan-cancer,Slide,binary,pan-cancer,0.62
MYC,TCGA,Phikon,Phikon,pathology,Pathology,Vit-B,0.59,0.59,0.68,0.59,Pan-cancer,Slide,binary,pan-cancer,0.61
SWI,CPTAC,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.7,0.7,0.74,0.7,Pan-cancer,Slide,binary,pan-cancer,0.71
SWI,CPTAC,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.7,0.69,0.76,0.7,Pan-cancer,Slide,binary,pan-cancer,0.71
SWI,CPTAC,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.72,0.73,0.81,0.72,Pan-cancer,Slide,binary,pan-cancer,0.74
SWI,CPTAC,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.72,0.71,0.76,0.72,Pan-cancer,Slide,binary,pan-cancer,0.73
SWI,CPTAC,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.68,0.68,0.74,0.68,Pan-cancer,Slide,binary,pan-cancer,0.7
SWI,CPTAC,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.73,0.73,0.78,0.73,Pan-cancer,Slide,binary,pan-cancer,0.74
SWI,CPTAC,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.72,0.72,0.76,0.72,Pan-cancer,Slide,binary,pan-cancer,0.73
SWI,CPTAC,Phikon,Phikon,pathology,Pathology,Vit-B,0.7,0.69,0.74,0.7,Pan-cancer,Slide,binary,pan-cancer,0.71
Immunegroup,TCGA,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.54,0.54,0.59,0.54,Pan-cancer,Slide,multi-class,pan-cancer,0.55
Immunegroup,TCGA,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.54,0.54,0.59,0.54,Pan-cancer,Slide,multi-class,pan-cancer,0.55
Immunegroup,TCGA,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.49,0.5,0.55,0.49,Pan-cancer,Slide,multi-class,pan-cancer,0.51
Immunegroup,TCGA,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.54,0.55,0.6,0.54,Pan-cancer,Slide,multi-class,pan-cancer,0.56
Immunegroup,TCGA,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.58,0.58,0.62,0.58,Pan-cancer,Slide,multi-class,pan-cancer,0.59
Immunegroup,TCGA,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.56,0.56,0.6,0.56,Pan-cancer,Slide,multi-class,pan-cancer,0.57
Immunegroup,TCGA,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.54,0.54,0.58,0.54,Pan-cancer,Slide,multi-class,pan-cancer,0.55
Immunegroup,TCGA,Phikon,Phikon,pathology,Pathology,Vit-B,0.62,0.62,0.67,0.62,Pan-cancer,Slide,multi-class,pan-cancer,0.63
P53,CPTAC,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.81,0.82,0.87,0.81,Pan-cancer,Slide,binary,pan-cancer,0.83
P53,CPTAC,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.8,0.81,0.88,0.8,Pan-cancer,Slide,binary,pan-cancer,0.82
P53,CPTAC,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.78,0.79,0.87,0.78,Pan-cancer,Slide,binary,pan-cancer,0.8
P53,CPTAC,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.78,0.78,0.84,0.78,Pan-cancer,Slide,binary,pan-cancer,0.8
P53,CPTAC,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.78,0.79,0.84,0.78,Pan-cancer,Slide,binary,pan-cancer,0.8
P53,CPTAC,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.79,0.81,0.88,0.79,Pan-cancer,Slide,binary,pan-cancer,0.82
P53,CPTAC,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.79,0.79,0.86,0.79,Pan-cancer,Slide,binary,pan-cancer,0.81
P53,CPTAC,Phikon,Phikon,pathology,Pathology,Vit-B,0.8,0.8,0.87,0.8,Pan-cancer,Slide,binary,pan-cancer,0.82
Chrom,CPTAC,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.7,0.69,0.72,0.7,Pan-cancer,Slide,binary,pan-cancer,0.7
Chrom,CPTAC,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.7,0.69,0.75,0.7,Pan-cancer,Slide,binary,pan-cancer,0.71
Chrom,CPTAC,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.68,0.68,0.74,0.68,Pan-cancer,Slide,binary,pan-cancer,0.7
Chrom,CPTAC,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.67,0.66,0.72,0.67,Pan-cancer,Slide,binary,pan-cancer,0.68
Chrom,CPTAC,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.7,0.7,0.76,0.7,Pan-cancer,Slide,binary,pan-cancer,0.72
Chrom,CPTAC,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.71,0.7,0.75,0.71,Pan-cancer,Slide,binary,pan-cancer,0.72
Chrom,CPTAC,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.73,0.73,0.8,0.73,Pan-cancer,Slide,binary,pan-cancer,0.75
Chrom,CPTAC,Phikon,Phikon,pathology,Pathology,Vit-B,0.73,0.72,0.78,0.73,Pan-cancer,Slide,binary,pan-cancer,0.74
lung_transcriptome_subtype,TCGA,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.66,0.67,0.7,0.66,LUSC+LUAD,Slide,multi-class,lung,0.67
lung_transcriptome_subtype,TCGA,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.57,0.58,0.61,0.57,LUSC+LUAD,Slide,multi-class,lung,0.58
lung_transcriptome_subtype,TCGA,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.54,0.56,0.65,0.54,LUSC+LUAD,Slide,multi-class,lung,0.57
lung_transcriptome_subtype,TCGA,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.64,0.65,0.71,0.64,LUSC+LUAD,Slide,multi-class,lung,0.66
lung_transcriptome_subtype,TCGA,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.71,0.72,0.79,0.71,LUSC+LUAD,Slide,multi-class,lung,0.73
lung_transcriptome_subtype,TCGA,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.66,0.66,0.68,0.66,LUSC+LUAD,Slide,multi-class,lung,0.66
lung_transcriptome_subtype,TCGA,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.67,0.68,0.71,0.67,LUSC+LUAD,Slide,multi-class,lung,0.68
lung_transcriptome_subtype,TCGA,Phikon,Phikon,pathology,Pathology,Vit-B,0.68,0.68,0.7,0.68,LUSC+LUAD,Slide,multi-class,lung,0.68
mRNAstatus,TCGA,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.35,0.4,0.52,0.35,PRAD,Slide,binary,prostate,0.4
mRNAstatus,TCGA,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.57,0.57,0.61,0.57,PRAD,Slide,binary,prostate,0.58
mRNAstatus,TCGA,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.3,0.34,0.44,0.3,PRAD,Slide,binary,prostate,0.34
mRNAstatus,TCGA,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.34,0.41,0.55,0.34,PRAD,Slide,binary,prostate,0.41
mRNAstatus,TCGA,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.64,0.63,0.67,0.64,PRAD,Slide,binary,prostate,0.64
mRNAstatus,TCGA,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.61,0.59,0.59,0.61,PRAD,Slide,binary,prostate,0.6
mRNAstatus,TCGA,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.33,0.33,0.38,0.33,PRAD,Slide,binary,prostate,0.34
mRNAstatus,TCGA,Phikon,Phikon,pathology,Pathology,Vit-B,0.34,0.34,0.38,0.34,PRAD,Slide,binary,prostate,0.35
MGMT,TCGA,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.66,0.66,0.74,0.66,GBM+LGG,Slide,binary,brain,0.68
MGMT,TCGA,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.63,0.63,0.71,0.63,GBM+LGG,Slide,binary,brain,0.65
MGMT,TCGA,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.62,0.61,0.67,0.62,GBM+LGG,Slide,binary,brain,0.63
MGMT,TCGA,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.61,0.61,0.7,0.61,GBM+LGG,Slide,binary,brain,0.63
MGMT,TCGA,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.61,0.61,0.67,0.61,GBM+LGG,Slide,binary,brain,0.62
MGMT,TCGA,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.65,0.66,0.74,0.65,GBM+LGG,Slide,binary,brain,0.68
MGMT,TCGA,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.63,0.64,0.72,0.63,GBM+LGG,Slide,binary,brain,0.66
MGMT,TCGA,Phikon,Phikon,pathology,Pathology,Vit-B,0.63,0.64,0.72,0.63,GBM+LGG,Slide,binary,brain,0.66
MTOR,CPTAC,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.69,0.68,0.72,0.69,Pan-cancer,Slide,binary,pan-cancer,0.7
MTOR,CPTAC,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.69,0.69,0.75,0.69,Pan-cancer,Slide,binary,pan-cancer,0.7
MTOR,CPTAC,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.66,0.66,0.74,0.66,Pan-cancer,Slide,binary,pan-cancer,0.68
MTOR,CPTAC,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.69,0.69,0.73,0.69,Pan-cancer,Slide,binary,pan-cancer,0.7
MTOR,CPTAC,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.67,0.66,0.71,0.67,Pan-cancer,Slide,binary,pan-cancer,0.68
MTOR,CPTAC,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.68,0.68,0.73,0.68,Pan-cancer,Slide,binary,pan-cancer,0.69
MTOR,CPTAC,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.69,0.68,0.74,0.69,Pan-cancer,Slide,binary,pan-cancer,0.7
MTOR,CPTAC,Phikon,Phikon,pathology,Pathology,Vit-B,0.68,0.67,0.73,0.68,Pan-cancer,Slide,binary,pan-cancer,0.69
MHIST,External_benchmarking_cohort,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.85,0.78,0.74,0.85,COAD,Patch,binary,colon,0.8
MHIST,External_benchmarking_cohort,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.71,0.65,0.64,0.71,COAD,Patch,binary,colon,0.68
MHIST,External_benchmarking_cohort,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.7,0.64,0.62,0.7,COAD,Patch,binary,colon,0.66
MHIST,External_benchmarking_cohort,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.83,0.76,0.71,0.83,COAD,Patch,binary,colon,0.78
MHIST,External_benchmarking_cohort,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.76,0.68,0.62,0.76,COAD,Patch,binary,colon,0.7
MHIST,External_benchmarking_cohort,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.85,0.79,0.73,0.85,COAD,Patch,binary,colon,0.8
MHIST,External_benchmarking_cohort,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.83,0.76,0.71,0.83,COAD,Patch,binary,colon,0.78
MHIST,External_benchmarking_cohort,Phikon,Phikon,pathology,Pathology,Vit-B,0.76,0.68,0.62,0.76,COAD,Patch,binary,colon,0.7
ERGstatus,TCGA,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.71,0.71,0.71,0.71,PRAD,Slide,binary,prostate,0.71
ERGstatus,TCGA,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.7,0.7,0.77,0.7,PRAD,Slide,binary,prostate,0.72
ERGstatus,TCGA,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.67,0.66,0.69,0.67,PRAD,Slide,binary,prostate,0.67
ERGstatus,TCGA,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.7,0.68,0.72,0.7,PRAD,Slide,binary,prostate,0.7
ERGstatus,TCGA,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.71,0.69,0.71,0.71,PRAD,Slide,binary,prostate,0.7
ERGstatus,TCGA,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.65,0.64,0.69,0.65,PRAD,Slide,binary,prostate,0.66
ERGstatus,TCGA,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.69,0.69,0.69,0.69,PRAD,Slide,binary,prostate,0.69
ERGstatus,TCGA,Phikon,Phikon,pathology,Pathology,Vit-B,0.69,0.69,0.69,0.69,PRAD,Slide,binary,prostate,0.69
UniToPatho,External_benchmarking_cohort,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.53,0.46,0.43,0.53,COAD,Patch,multi-class,colon,0.49
UniToPatho,External_benchmarking_cohort,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.52,0.46,0.43,0.52,COAD,Patch,multi-class,colon,0.48
UniToPatho,External_benchmarking_cohort,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.47,0.42,0.39,0.47,COAD,Patch,multi-class,colon,0.44
UniToPatho,External_benchmarking_cohort,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.5,0.43,0.4,0.5,COAD,Patch,multi-class,colon,0.46
UniToPatho,External_benchmarking_cohort,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.52,0.44,0.41,0.52,COAD,Patch,multi-class,colon,0.47
UniToPatho,External_benchmarking_cohort,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.54,0.45,0.41,0.54,COAD,Patch,multi-class,colon,0.48
UniToPatho,External_benchmarking_cohort,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.52,0.45,0.42,0.52,COAD,Patch,multi-class,colon,0.48
UniToPatho,External_benchmarking_cohort,Phikon,Phikon,pathology,Pathology,Vit-B,0.51,0.45,0.42,0.51,COAD,Patch,multi-class,colon,0.47
BACH,External_benchmarking_cohort,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.83,0.77,0.73,0.83,BRCA,Patch,multi-class,breast,0.79
BACH,External_benchmarking_cohort,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.91,0.87,0.84,0.91,BRCA,Patch,multi-class,breast,0.88
BACH,External_benchmarking_cohort,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.68,0.57,0.52,0.68,BRCA,Patch,multi-class,breast,0.61
BACH,External_benchmarking_cohort,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.87,0.82,0.79,0.87,BRCA,Patch,multi-class,breast,0.84
BACH,External_benchmarking_cohort,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.88,0.84,0.81,0.88,BRCA,Patch,multi-class,breast,0.85
BACH,External_benchmarking_cohort,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.87,0.81,0.77,0.87,BRCA,Patch,multi-class,breast,0.83
BACH,External_benchmarking_cohort,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.86,0.8,0.77,0.86,BRCA,Patch,multi-class,breast,0.82
BACH,External_benchmarking_cohort,Phikon,Phikon,pathology,Pathology,Vit-B,0.91,0.87,0.84,0.91,BRCA,Patch,multi-class,breast,0.88
IDH,TCGA,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.88,0.88,0.9,0.88,GBM+LGG,Slide,binary,brain,0.88
IDH,TCGA,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.91,0.92,0.95,0.91,GBM+LGG,Slide,binary,brain,0.92
IDH,TCGA,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.89,0.89,0.92,0.89,GBM+LGG,Slide,binary,brain,0.9
IDH,TCGA,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.85,0.85,0.9,0.85,GBM+LGG,Slide,binary,brain,0.86
IDH,TCGA,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.89,0.89,0.93,0.89,GBM+LGG,Slide,binary,brain,0.9
